SHIPMENTDATE,Consignment,Customer,INVOICE,REFERENCE,WEIGHT,ORIGIN,DESTINATION,ZONE,VALUE
2025-06-14,IN-CONS-3618,Client_C,INV-IN-7102,IN-REF-000,46.97,Madrid,Coventry Hub,International,969.04
2025-06-08,IN-CONS-3623,Client_C,INV-IN-7777,IN-REF-001,23.41,Paris,Coventry Hub,International,297.58
2025-06-18,IN-CONS-3718,Client_B,INV-IN-7430,IN-REF-002,17.03,Berlin,Coventry Hub,International,877.61
2025-06-19,IN-CONS-3687,Client_A,INV-IN-7753,IN-REF-003,42.45,Paris,Coventry Hub,International,4812.29
2025-06-27,IN-CONS-3448,Client_C,INV-IN-7223,IN-REF-004,39.22,Madrid,Coventry Hub,International,4889.14
2025-06-27,IN-CONS-3031,Client_B,INV-IN-7546,IN-REF-005,30.52,Berlin,Coventry Hub,International,1160.58
2025-06-06,IN-CONS-3475,Client_C,INV-IN-7476,IN-REF-006,25.19,Madrid,Coventry Hub,International,3135.88
2025-06-16,IN-CONS-3681,Client_C,INV-IN-7548,IN-REF-007,23.39,Berlin,Coventry Hub,International,2966.54
2025-06-29,IN-CONS-3082,Client_A,INV-IN-7945,IN-REF-008,23.2,Paris,Coventry Hub,International,886.45
2025-06-17,IN-CONS-3028,Client_B,INV-IN-7688,IN-REF-009,31.19,Berlin,Coventry Hub,International,2787.99
2025-06-14,IN-CONS-3494,Client_B,INV-IN-7979,IN-REF-010,37.17,Madrid,Coventry Hub,International,3462.78
2025-06-25,IN-CONS-3493,Client_A,INV-IN-7605,IN-REF-011,20.43,Paris,Coventry Hub,International,873.46
2025-06-28,IN-CONS-3471,Client_A,INV-IN-7338,IN-REF-012,23.98,Paris,Coventry Hub,International,1655.35
2025-06-19,IN-CONS-3099,Client_A,INV-IN-7086,IN-REF-013,44.42,Madrid,Coventry Hub,International,2049.65
2025-06-26,IN-CONS-3798,Client_A,INV-IN-7140,IN-REF-014,26.21,Paris,Coventry Hub,International,1971.08
2025-06-03,IN-CONS-3811,Client_B,INV-IN-7974,IN-REF-015,18.13,Berlin,Coventry Hub,International,510.01
2025-06-23,IN-CONS-3076,Client_A,INV-IN-7239,IN-REF-016,24.82,Madrid,Coventry Hub,International,383.31
2025-06-26,IN-CONS-3303,Client_A,INV-IN-7953,IN-REF-017,40.34,Berlin,Coventry Hub,International,275.84
2025-06-02,IN-CONS-3801,Client_C,INV-IN-7746,IN-REF-018,36.54,Paris,Coventry Hub,International,4557.72
2025-06-09,IN-CONS-3398,Client_B,INV-IN-7163,IN-REF-019,29.17,Paris,Coventry Hub,International,1171.04
2025-06-02,IN-CONS-3056,Client_C,INV-IN-7094,IN-REF-020,46.1,Berlin,Coventry Hub,International,2524.82
2025-06-16,IN-CONS-3685,Client_A,INV-IN-7683,IN-REF-021,42.42,Berlin,Coventry Hub,International,2464.8
2025-06-27,IN-CONS-3353,Client_B,INV-IN-7589,IN-REF-022,12.81,Madrid,Coventry Hub,International,1712.05
2025-06-26,IN-CONS-3415,Client_B,INV-IN-7123,IN-REF-023,46.18,Berlin,Coventry Hub,International,2935.15
2025-06-05,IN-CONS-3381,Client_C,INV-IN-7373,IN-REF-024,46.94,Paris,Coventry Hub,International,4779.69
2025-06-01,IN-CONS-3662,Client_C,INV-IN-7365,IN-REF-025,25.06,Berlin,Coventry Hub,International,4415.1
2025-06-05,IN-CONS-3398,Client_A,INV-IN-7192,IN-REF-026,21.62,Paris,Coventry Hub,International,4285.68
2025-06-22,IN-CONS-3215,Client_A,INV-IN-7011,IN-REF-027,36.55,Berlin,Coventry Hub,International,997.83
2025-06-20,IN-CONS-3547,Client_B,INV-IN-7801,IN-REF-028,33.78,Madrid,Coventry Hub,International,2872.75
2025-06-17,IN-CONS-3320,Client_B,INV-IN-7555,IN-REF-029,1.74,Paris,Coventry Hub,International,2254.98
2025-06-05,IN-CONS-3838,Client_C,INV-IN-7138,IN-REF-030,32.92,Paris,Coventry Hub,International,3101.05
2025-06-26,IN-CONS-3241,Client_C,INV-IN-7874,IN-REF-031,7.29,Paris,Coventry Hub,International,1158.8
2025-06-16,IN-CONS-3172,Client_B,INV-IN-7700,IN-REF-032,28.49,Paris,Coventry Hub,International,4652.34
2025-06-28,IN-CONS-3660,Client_A,INV-IN-7522,IN-REF-033,31.83,Madrid,Coventry Hub,International,518.05
