SHIPMENTDATE,BARCODE,ACCOUNTNUMBER,INVOICE_NUMBER,Consignment,REFERENCE,WEIGHT,VOLUMETRIC_WEIGHT,LENGTH,WIDTH,HEIGHT,PRODUCT_TYPE_NAME,Destination,ZONE,BASE_RATE,FINAL_PRICE
2025-06-03,BAR61442,ACC-850,INV-5684,CONS-1012,REF-000,29.4,2.44,79,50,34,Standard,Birmingham,Zone 3,24.38,53.59
2025-06-24,BAR41172,ACC-649,INV-5074,CONS-1912,REF-001,23.55,2.3,12,74,39,Economy,London,Zone 3,28.22,74.0
2025-06-18,BAR82432,ACC-201,INV-5240,CONS-1048,REF-002,25.16,16.39,45,41,92,Standard,Glasgow,Zone 1,49.87,82.34
2025-06-26,BAR52416,ACC-815,INV-5967,CONS-1906,REF-003,29.3,28.51,35,58,12,Standard,Glasgow,Zone 3,32.7,52.34
2025-06-18,BAR78177,ACC-554,INV-5953,CONS-1828,REF-004,28.34,34.66,71,96,53,Express,Manchester,Zone 3,21.55,38.58
2025-06-14,BAR13950,ACC-880,INV-5874,CONS-1967,REF-005,27.17,22.66,41,87,74,Economy,Birmingham,Zone 1,22.52,28.11
2025-06-13,BAR53206,ACC-273,INV-5958,CONS-1307,REF-006,16.97,24.5,51,48,73,Express,Birmingham,Zone 1,21.43,89.09
2025-06-18,BAR24952,ACC-447,INV-5984,CONS-1123,REF-007,26.7,17.15,36,50,92,Standard,Birmingham,Zone 2,44.43,31.51
2025-06-25,BAR15513,ACC-868,INV-5829,CONS-1407,REF-008,20.12,4.13,20,79,95,Express,Birmingham,Zone 2,16.39,15.41
2025-06-21,BAR85249,ACC-931,INV-5261,CONS-1550,REF-009,2.16,15.85,36,55,36,Economy,Glasgow,Zone 1,33.0,23.21
2025-06-04,BAR15302,ACC-710,INV-5341,CONS-1931,REF-010,6.12,11.67,59,46,43,Express,London,Zone 3,33.18,51.2
2025-06-04,BAR11800,ACC-221,INV-5189,CONS-1091,REF-011,1.61,10.47,37,99,12,Express,London,Zone 3,17.6,88.79
2025-06-09,BAR95570,ACC-453,INV-5071,CONS-1627,REF-012,3.38,34.84,27,91,14,Standard,Glasgow,Zone 3,40.86,75.03
2025-06-15,BAR87500,ACC-999,INV-5652,CONS-1060,REF-013,12.04,13.31,61,71,52,Standard,London,Zone 1,27.18,86.33
2025-06-08,BAR39446,ACC-823,INV-5721,CONS-1589,REF-014,2.15,8.58,99,100,43,Express,London,Zone 1,36.8,26.77
2025-06-16,BAR89689,ACC-564,INV-5848,CONS-1509,REF-015,13.47,20.59,14,38,56,Express,Manchester,Zone 3,7.24,91.21
2025-06-27,BAR50088,ACC-783,INV-5433,CONS-1223,REF-016,12.83,13.99,65,39,92,Express,Manchester,Zone 3,41.93,96.47
2025-06-14,BAR79816,ACC-804,INV-5586,CONS-1923,REF-017,29.23,10.96,88,37,41,Express,Birmingham,Zone 2,30.41,36.69
